"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"6781",2251317074,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=SABEE419-15","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","UNRANKED","BOLD:AAC5729","BOLD:AAC5729","","MY","Bukit Bintang","Federal Territory of Kuala Lumpur","",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",3.14,101.71,NA,NA,NA,NA,NA,NA,"2014-10-08T00:00:00",8,10,2014,10591179,1341975,"MATERIAL_SAMPLE","","","","","Kate Perez","","CC_BY_4_0","Barcode of Life Datasystems","Gary Sing Kong Wah","","","2020-06-11T08:43:23.787Z","StillImage","GEODETIC_DATUM_ASSUMED_WGS84"
"13886",2451692241,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/35187368","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","SPECIES","Apis andreniformis Smith, 1858","Apis andreniformis","","BN","","Temburong","",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",4.551769,115.160271,NA,NA,NA,NA,NA,NA,"2019-10-20T11:17:25",20,10,2019,1341975,1341975,"HUMAN_OBSERVATION","iNaturalist","Observations","35187368","","","2019-11-02T07:55:08","CC_BY_4_0","Tim","Tim","","","2020-06-11T18:10:50.794Z","StillImage;StillImage;StillImage;StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"44447",1318022395,"821cc27a-e3bb-4bc5-ac34-89ada245069d","http://n2t.net/ark:/65665/324421f11-f573-4fbf-8570-2622a088d873","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","SPECIES","Apis andreniformis Smith, 1858","Apis (Micrapis) andreniformis","Smith","MY","11km N. Batu Caves","Selangor","",1,"bc092ff0-02e4-11dc-991f-b8a03c50a862",3.333333,101.7,NA,NA,230,0,NA,NA,"1976-05-07T00:00:00",7,5,1976,1341975,1341975,"PRESERVED_SPECIMEN","USNM","Entomology","USNMENT1080032","","","","CC0_1_0","","K. Krombein","","","2020-06-08T18:58:00.919Z","","GEODETIC_DATUM_ASSUMED_WGS84"
"44839",2251316267,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=SABEE470-15","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","UNRANKED","BOLD:AAC5729","BOLD:AAC5729","","MY","Batu 9, Cheras","Federal Territory of Kuala Lumpur","",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",3.04,101.75,NA,NA,NA,NA,NA,NA,"2014-10-10T00:00:00",10,10,2014,10591179,1341975,"MATERIAL_SAMPLE","","","","","Kate Perez","","CC_BY_4_0","Barcode of Life Datasystems","Gary Sing Kong Wah","","","2020-06-11T08:43:26.964Z","StillImage","GEODETIC_DATUM_ASSUMED_WGS84"
"49705",2550101086,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/37361073","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","SPECIES","Apis andreniformis Smith, 1858","Apis andreniformis","","MY","","Sabah","",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",5.944857,116.046157,15,NA,NA,NA,NA,NA,"2019-12-30T04:54:00",30,12,2019,1341975,1341975,"HUMAN_OBSERVATION","iNaturalist","Observations","37361073","","","2020-01-07T12:45:33","CC_BY_NC_4_0","tiluchi","tiluchi","","","2020-06-11T18:08:58.770Z","StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"50971",1948736936,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/17187344","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","SPECIES","Apis andreniformis Smith, 1858","Apis andreniformis","","LA","","Louangphrabang","",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",19.736376,102.004135,NA,NA,NA,NA,NA,NA,"2018-10-04T14:03:21",4,10,2018,1341975,1341975,"HUMAN_OBSERVATION","iNaturalist","Observations","17187344","","","2018-12-03T20:24:19","CC_BY_NC_4_0","Erik Delaquis","Erik Delaquis","","","2020-06-11T18:10:45.057Z","StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"57255",2464582119,"8f7e3c45-4d76-4982-9478-651439e0cd4b","613598","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","SPECIES","Apis andreniformis Smith, 1858","Apis andreniformis Smith, 1858","","KH","Southern Cardamon Mts. near Chi Phat","","",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",11.39778,103.47361,NA,NA,NA,NA,NA,NA,"2012-01-29T00:00:00",29,1,2012,1341975,1341975,"PRESERVED_SPECIMEN","TUZ","","TUZ041176","","Villu Soon","","CC_BY_NC_4_0","","Olavi Kurina","","","2020-06-08T18:59:45.049Z","",""
"67103",1883464461,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/13637323","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","SPECIES","Apis andreniformis Smith, 1858","Apis andreniformis","","SG","","West","",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",1.371553,103.752118,NA,NA,NA,NA,NA,NA,"2018-06-05T10:29:00",5,6,2018,1341975,1341975,"HUMAN_OBSERVATION","iNaturalist","Observations","13637323","","","2018-07-13T07:09:21","CC_BY_NC_4_0","Steven Chong","Steven Chong","","","2020-06-11T18:10:48.176Z","StillImage","GEODETIC_DATUM_ASSUMED_WGS84"
"104023",991922093,"aae308f4-9f9c-4cdd-b4ef-c026f48be551","e40b8453-0f3b-4183-b29c-ac547760401a","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","SPECIES","Apis andreniformis Smith, 1858","Apis (Micrapis) andreniformis","","MY","Agricultural Research Station, Tenom","Sabah","",NA,"b554c320-0560-11d8-b851-b8a03c50a862",5.166667,115.95,NA,NA,NA,NA,NA,NA,"1989-05-07T00:00:00",7,5,1989,1341975,1341975,"PRESERVED_SPECIMEN","KU","SEMC","1295865","","","","CC_BY_4_0","","Otis, Gard","","","2020-06-08T17:48:34.273Z","StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"104039",991921896,"aae308f4-9f9c-4cdd-b4ef-c026f48be551","fec55a43-1b18-414b-94ff-dd832e398ca5","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","SPECIES","Apis andreniformis Smith, 1858","Apis (Micrapis) andreniformis","","MY","Pekan Air Panas","Johor","",NA,"b554c320-0560-11d8-b851-b8a03c50a862",1.916667,102.766667,NA,NA,NA,NA,NA,NA,"1989-03-02T00:00:00",2,3,1989,1341975,1341975,"PRESERVED_SPECIMEN","KU","SEMC","1295674","","","","CC_BY_4_0","","Otis, Gard","","","2020-06-08T17:48:34.425Z","StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
